| Variable Name   | Value                                     | Updated Value                             | Is Default | First Def | First Use | First Val                                 | Override Index | Is Autodef | Is Empty | Is Global | Value Counter | First Use IsGlobal | Set In                      | Set As                                                                                                                                               | Values                                                                                                                                                                            | Used In                     |
|-----------------|-------------------------------------------|-------------------------------------------|------------|-----------|-----------|-------------------------------------------|----------------|------------|----------|-----------|---------------|--------------------|-----------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------|
| units           | $si                                       | $ units box                               | True       | 0         | 0         | $si                                       | 6              | True       | False    | True      | 3             | False              | 0, 6                        | $si, $ units box                                                                                                                                     | 0: $si, 6: $ units box                                                                                                                                                            | 0, 6, 7, 8                  |
| dimension       | 3                                         | 3                                         | True       | 0         | 0         | 3                                         | None           | True       | False    | True      | 2             | False              | 0                           | 3                                                                                                                                                    | 0: 3                                                                                                                                                                              | 0                           |
| atom_modify     | ['map', 'array']                          | ['map', 'array']                          | True       | 0         | 0         | ['map', 'array']                          | None           | True       | False    | True      | 2             | False              | 0                           | ['map', 'array']                                                                                                                                     | 0: ['map', 'array']                                                                                                                                                               | 0                           |
| neigh_modify    | ['every', 10, 'delay', 0, 'check', 'yes'] | ['every', 10, 'delay', 0, 'check', 'yes'] | True       | 0         | 0         | ['every', 10, 'delay', 0, 'check', 'yes'] | None           | True       | False    | True      | 2             | False              | 0                           | ['every', 10, 'delay', 0, 'check', 'yes']                                                                                                            | 0: ['every', 10, 'delay', 0, 'check', 'yes']                                                                                                                                      | 0                           |
| comm_modify     | ['vel', 'yes']                            | ['vel', 'yes']                            | True       | 0         | 0         | ['vel', 'yes']                            | None           | True       | False    | True      | 2             | False              | 0                           | ['vel', 'yes']                                                                                                                                       | 0: ['vel', 'yes']                                                                                                                                                                 | 0                           |
| newton          | $off                                      | $off                                      | True       | 0         | 0         | $off                                      | None           | True       | False    | True      | 2             | False              | 0                           | $off                                                                                                                                                 | 0: $off                                                                                                                                                                           | 0                           |
| name            | $SimulationBox                            | $SimulationBox                            | True       | 0         | 0         | $SimulationBox                            | None           | True       | False    | True      | 2             | False              | 0                           | $SimulationBox                                                                                                                                       | 0: $SimulationBox                                                                                                                                                                 | 0, 1, 2, 16                 |
| boundary        | ['f', 'f', 'f']                           | ['f', 'f', 'f']                           | True       | 0         | 0         | ['f', 'f', 'f']                           | None           | True       | False    | True      | 2             | False              | 0                           | ['f', 'f', 'f']                                                                                                                                      | 0: ['f', 'f', 'f']                                                                                                                                                                | 0                           |
| atom_style      | $smd                                      | $smd                                      | True       | 0         | 0         | $smd                                      | None           | True       | False    | True      | 2             | False              | 0                           | $smd                                                                                                                                                 | 0: $smd                                                                                                                                                                           | 0                           |
| boxid           | $box                                      | $box                                      | True       | 0         | 0         | $box                                      | None           | True       | False    | True      | 2             | False              | 0                           | $box                                                                                                                                                 | 0: $box                                                                                                                                                                           | 0, 1, 2, 16                 |
| lattice_spacing | [0.001, 0.001, 0.001]                     | [0.001, 0.001, 0.001]                     | False      | 0         | 1         | [0.001, 0.001, 0.001]                     | 1              | False      | True     | False     | 2             | False              | 1                           | [0.001, 0.001, 0.001]                                                                                                                                | 1: [0.001, 0.001, 0.001]                                                                                                                                                          | 1                           |
| lattice_scale   | 0.001                                     | 0.001                                     | True       | 0         | 1         | 0.001                                     | None           | True       | False    | True      | 2             | False              | 1                           | 0.001                                                                                                                                                | 1: 0.001                                                                                                                                                                          | 1                           |
| lattice_style   | $sc                                       | $sc                                       | True       | 0         | 1         | $sc                                       | None           | True       | False    | True      | 2             | False              | 1                           | $sc                                                                                                                                                  | 1: $sc                                                                                                                                                                            | 1                           |
| ymin            | -0.04                                     | -0.04                                     | True       | 0         | 2         | -0.04                                     | None           | True       | False    | True      | 2             | False              | 2                           | -0.04                                                                                                                                                | 2: -0.04                                                                                                                                                                          | 2                           |
| zmax            | 0.03                                      | 0.03                                      | True       | 0         | 2         | 0.03                                      | None           | True       | False    | True      | 2             | False              | 2                           | 0.03                                                                                                                                                 | 2: 0.03                                                                                                                                                                           | 2                           |
| ymax            | 0.04                                      | 0.04                                      | True       | 0         | 2         | 0.04                                      | None           | True       | False    | True      | 2             | False              | 2                           | 0.04                                                                                                                                                 | 2: 0.04                                                                                                                                                                           | 2                           |
| zmin            | -0.03                                     | -0.03                                     | True       | 0         | 2         | -0.03                                     | None           | True       | False    | True      | 2             | False              | 2                           | -0.03                                                                                                                                                | 2: -0.03                                                                                                                                                                          | 2                           |
| xmin            | -0.04                                     | -0.04                                     | True       | 0         | 2         | -0.04                                     | None           | True       | False    | True      | 2             | False              | 2                           | -0.04                                                                                                                                                | 2: -0.04                                                                                                                                                                          | 2                           |
| boxunits_arg    | $units box                                | $units box                                | True       | 0         | 2         | $units box                                | None           | False      | True     | True      | 2             | False              | 2                           | $units box                                                                                                                                           | 2: $units box                                                                                                                                                                     | 2                           |
| nbeads          | 3                                         | 3                                         | True       | 0         | 2         | 3                                         | None           | True       | False    | True      | 2             | False              | 2                           | 3                                                                                                                                                    | 2: 3                                                                                                                                                                              | 2, 16                       |
| xmax            | 0.04                                      | 0.04                                      | True       | 0         | 2         | 0.04                                      | None           | True       | False    | True      | 2             | False              | 2                           | 0.04                                                                                                                                                 | 2: 0.04                                                                                                                                                                           | 2                           |
| style           | $cylinder                                 | $cylinder                                 | True       | 3         | 3         | $cylinder                                 | None           | True       | False    | True      | 2             | False              | 3                           | $cylinder                                                                                                                                            | 3: $cylinder                                                                                                                                                                      | 3, 4, 5, 6, 7, 8, 9, 10, 11 |
| ID              | $LowerCylinder                            | $UpperCylinder                            | True       | 3         | 3         | $LowerCylinder                            | 11             | True       | False    | True      | 10            | False              | 3, 4, 5, 6, 7, 8, 9, 10, 11 | $LowerCylinder, $CentralCylinder, $UpperCylinder, $LowerCylinder, $CentralCylinder, $UpperCylinder, $LowerCylinder, $CentralCylinder, $UpperCylinder | 3: $LowerCylinder, 4: $CentralCylinder, 5: $UpperCylinder, 6: $LowerCylinder, 7: $CentralCylinder, 8: $UpperCylinder, 9: $LowerCylinder, 10: $CentralCylinder, 11: $UpperCylinder | 3, 4, 5, 6, 7, 8, 9, 10, 11 |
| side            |                                           |                                           | True       | 3         | 6         |                                           | None           | True       | False    | True      | 2             | False              | 6                           |                                                                                                                                                      | 6:                                                                                                                                                                                | 6, 7, 8                     |
| rotate          |                                           |                                           | True       | 3         | 6         |                                           | None           | True       | False    | True      | 2             | False              | 6                           |                                                                                                                                                      | 6:                                                                                                                                                                                | 6, 7, 8                     |
| move            |                                           |                                           | True       | 3         | 6         |                                           | None           | True       | False    | True      | 2             | False              | 6                           |                                                                                                                                                      | 6:                                                                                                                                                                                | 6, 7, 8                     |
| open            |                                           |                                           | True       | 3         | 6         |                                           | None           | True       | False    | True      | 2             | False              | 6                           |                                                                                                                                                      | 6:                                                                                                                                                                                | 6, 7, 8                     |
| args            | ['z', 0, 0, 0.03, -0.03, -0.01]           | ['z', 0, 0, 0.03, 0.01, 0.03]             | True       | 3         | 6         | ['z', 0, 0, 0.03, -0.03, -0.01]           | 8              | True       | False    | True      | 4             | False              | 6, 7, 8                     | ['z', 0, 0, 0.03, -0.03, -0.01], ['z', 0, 0, 0.03, -0.01, 0.01], ['z', 0, 0, 0.03, 0.01, 0.03]                                                       | 6: ['z', 0, 0, 0.03, -0.03, -0.01], 7: ['z', 0, 0, 0.03, -0.01, 0.01], 8: ['z', 0, 0, 0.03, 0.01, 0.03]                                                                           | 6, 7, 8                     |
| beadtype        | 1                                         | 3                                         | False      | 3         | 9         | 1                                         | 11             | False      | True     | False     | 4             | False              | 9, 10, 11                   | 1, 2, 3                                                                                                                                              | 9: 1, 10: 2, 11: 3                                                                                                                                                                | 9, 10, 11                   |
| mass            | 1.0                                       | 1.0                                       | False      | 0         | 13        | 1.0                                       | None           | False      | False    | True      | 1             | True               | 13                          | 1.0                                                                                                                                                  | 13: 1.0                                                                                                                                                                           | 13                          |
| n_upper         | ${n_upper}                                | ${n_upper}                                | True       | 14        | 15        | ${n_upper}                                | None           | True       | False    | True      | 1             | True               | 15                          | ${n_upper}                                                                                                                                           | 15: ${n_upper}                                                                                                                                                                    | 15                          |
| n_middle        | ${n_middle}                               | ${n_middle}                               | True       | 14        | 15        | ${n_middle}                               | None           | True       | False    | True      | 1             | True               | 15                          | ${n_middle}                                                                                                                                          | 15: ${n_middle}                                                                                                                                                                   | 15                          |
